group,field,units,dimensions,dimension,datatype,description,long_name,source,coordinates,valid_min,valid_max
ROOT,,,,,,Data common to datum track and crossing track,,,,,
ROOT,xo_index,1,,TRUE,int64,Order of points within the file,data index,"Derived, ATL11 algorithm",longitude latitude,0,
ROOT,latitude,degrees,xo_index,FALSE,float64,latitude of the reference point,reference point latitude,"Derived, ATL11 algorithm",longitude,-90,90
ROOT,longitude,degrees,xo_index,FALSE,float64,longitude of the reference point,reference point longitude,"Derived, ATL11 algorithm",latitude,-180,180
ROOT,x,meters,xo_index,FALSE,float64,Projected x coordinate of the reference point,reference point projected x,"Derived, ATL11 algorithm",longitude latitude,-5000000,5000000
ROOT,y,meters,xo_index,FALSE,float64,Projected y coordinate of the reference point,reference point projected y,"Derived, ATL11 algorithm",longitude latitude,-5000000,5000000
ROOT,dem_h,meters,xo_index,FALSE,float32,DEM height at the reference point,DEM height,ATL06,longitude latitude,-460,8400
ROOT,geoid_h,meters,xo_index,FALSE,float32,geoid height at the reference point,Geoid height,ATL06,longitude latitude,,
ROOT,n_slope,unitless,xo_index,FALSE,float32,Local north component of the reference surface slope,north component of reference surface slope,"Derived, ATL11 algorithm",longitude latitude,,
ROOT,e_slope,unitless,xo_index,FALSE,float32,Local east component of the reference surface slope,east component of reference surface slope,"Derived, ATL11 algorithm",longitude latitude,,
ROOT,fit_quality,1,xo_index,FALSE,int8,"Indicates quality of the datum-track reference surface fit: 0: no problem identified, 1: One or more polynomial coefficient errors larger than 10, 2: One or more components of the surface slope has magnitude larger than 0.2, 3:  Conditions 1 and 2 both true.",reference point fit quality,"Derived, ATL11 algorithm",longitude latitude,0,32
,,,,,,,,,,,
datum_track,,,,,,Data from the track for which the along-track calculation was performed in ATL11,,,,,
datum_track,ref_pt,1,../xo_index,FALSE,int32,the reference-point number for the datum track,reference point,ATL06,longitude latitude,0,2000000
datum_track,rgt,1,../xo_index,FALSE,int32,RGT number for the datum track,datum RGT number,ATL06,longitude latitude,1,1387
datum_track,pair_track,1,../xo_index,FALSE,int8,Pair track number for the datum track,datum pair track number,ATL06,longitude latitude,1,3
datum_track,delta_time,seconds,../xo_index,FALSE,float64,time relative to the ICESat-2 reference epoch,datum delta time,ATL06,longitude latitude,0,
datum_track,cycle_number,1,../xo_index,FALSE,int8,Cycle number,datum cycle number,ATL06,longitude latitude,0,99
datum_track,dh_geoloc,meters,../xo_index,FALSE,float32,Correction applied to Antarctic heights based on estimates of the geolocation bias ,datum geolocation height bias,"Derived, ATL11 algorithm",longitude latitude,-50,50
datum_track,h_corr,meters,../xo_index,FALSE,float32,"WGS-84 height, corrected for the ATL11 surface shape for the datum track",datum corrected height,"Derived, ATL11 algorithm",longitude latitude,-460,8400
datum_track,h_corr_sigma,meters,../xo_index,FALSE,float32,error in the height estimate,datum height uncertainty,"Derived, ATL11 algorithm",longitude latitude,0,
datum_track,h_corr_sigma_systematic,meters,../xo_index,FALSE,float32,systematic error in the height estimate,datum systematic height uncertainty,"Derived, ATL11 algorithm",longitude latitude,0,
datum_track,tide_ocean,meters,../xo_index,FALSE,float32,Ocean-tide estimate ,datum ocean tide,ATL06,longitude latitude,-40,40
datum_track,dac,meters,../xo_index,FALSE,float32,Dynamic atmosphere correction ,datum dynamic atmosphere correction,ATL06,longitude latitude,-40,40
,,,,,,,,,,,
crossing_track,,,,,,Data derived from tracks crossing the ATL11 reference tracks,,,,,
crossing_track,delta_time,seconds,../xo_index,FALSE,float64,time relative to the ICESat-2 reference epoch,crossing track delta time,ATL06,longitude latitude,0,
crossing_track,ref_pt,1,../xo_index,FALSE,int32,Reference-point number of the fit center for the datum track,reference point number,ATL06,longitude latitude,1,2000000
crossing_track,rgt,1,../xo_index,FALSE,int32,Reference ground track number ,crossing track RGT number,ATL06,longitude latitude,1,1387
crossing_track,pair_track,1,../xo_index,FALSE,int8,Pair track number for the crossing data,crossing track pair track number,ATL06,longitude latitude,1,3
crossing_track,segment_id,1,../xo_index,FALSE,int64,Segment ID for the crossing data,crossing track segment id,ATL06,longitude latitude,1,2000000
crossing_track,spot,1,../xo_index,FALSE,int8,Spot number ,crossing track spot number,ATL06,longitude latitude,1,6
crossing_track,h_corr,meters,../xo_index,FALSE,float32,"WGS-84 height, corrected for the ATL11 surface shape",crossing track corrected surface height,"Derived, ATL11 algorithm",longitude latitude,-460,8400
crossing_track,h_corr_sigma,meters,../xo_index,FALSE,float32,error in the height estimate,crossing track corrected surface height uncertainty,"Derived, ATL11 algorithm",longitude latitude,0,
crossing_track,h_corr_sigma_systematic,meters,../xo_index,FALSE,float32,systematic error in the height estimate,crossing track corrected surface height systematic uncertainty,"Derived, ATL11 algorithm",longitude latitude,0,
crossing_track,dh_geoloc,meters,../xo_index,FALSE,float32,Correction applied to Antarctic heights based on estimates of the geolocation bias. ,crossing track geolocation height bias,"Derived, ATL11 algorithm",longitude latitude,-50,50
crossing_track,tide_ocean,meters,../xo_index,FALSE,float32,Ocean-tide estimate ,crossing track ocean tide,ATL06,longitude latitude,-40,40
crossing_track,dac,meters,../xo_index,FALSE,float32,Dynamic atmosphere correction ,crossing track dynamic atmosphere correction,ATL06,longitude latitude,-40,40
crossing_track,atl06_quality_summary,1,../xo_index,FALSE,int8,"Quality flag derived from ATL06.  0 indicates no problems detected, 1 indicates potential problems",crossing track ATL06 quality summary,ATL06,longitude latitude,0,16
,,,,,,,,,,,
crossing_track,along_track_rss,meters,../xo_index,FALSE,float32,Root sum of the squared differences between the heights of the endpoints for the crossing-track segment and the centers of the previous and next segments,root sum of squared differences in crossing-track heights,"Derived, ATL11 algorithm",longitude latitude,0,100
