delta_time,x_bias,y_bias,total_sigma,rgt_corr_sigma,xy_corr_sigma,N_pts
24819586.297920216,7.033777103856953,-1.4161701829960545,0.0520156703311595,0.0525820077835541,0.0433284378871305,1215
24884608.229038317,3.774068541248512,-0.5736331048318046,0.0829804356833581,0.0832600841949596,0.0541000466491587,7817
25011864.57818965,3.8772780664511446,-0.2024854261391245,0.0796970353546952,0.0798200663090942,0.0569186036964902,6499
25147716.35130093,6.24655889906518,0.0274461152400032,0.0593415206068924,0.0594741510919884,0.054508262703381,6003
25272150.21903792,4.844514709149033,1.2100571459479668,0.0584730776021267,0.0585284099717946,0.0548993421319465,11819
25402271.845086016,3.830454037644546,1.9638240341438111,0.0543941521534053,0.054422232605429,0.0502424512446532,18746
25532327.403880574,3.9293923397393153,2.276334643697686,0.0541659740959397,0.0546876392991026,0.0495970449515277,18515
25665329.94931176,4.240521710666608,2.535834125046036,0.0558783473895562,0.0560381495536052,0.0499428085750242,11936
25798251.00842943,4.698740457774252,2.6560164649524576,0.0553479238258701,0.0555259330215683,0.0483003657168998,11993
25917046.104086995,4.214882027711437,2.0397432430711167,0.0561612886513566,0.0562576569567055,0.0514399694676292,13762
26050014.377773188,2.5644156618880585,1.319934082533989,0.0646138590752388,0.064676870776304,0.0522015243538746,18154
26177340.26175491,2.65313106447876,1.579001245070333,0.0642410698996637,0.0643318265692824,0.0497505505718168,20148
26310257.30923963,5.269242166894174,2.426386092478644,0.0540976306801079,0.0541008789391147,0.0467612972059831,16860
26437571.948306456,4.970932681782577,2.8572561887100707,0.0563504715037447,0.0563535883999214,0.0482026493522127,19366
26570486.538206063,4.248270406490703,2.65946509949288,0.0545062125688361,0.0545418764909568,0.0477602600939606,16519
26694988.968005534,3.659447975262716,1.999446001797095,0.0500845934004945,0.050109998119194,0.0455396479270147,13110
26827876.62661608,2.968139650953259,1.1793211652166629,0.0489780797326721,0.0493772460030145,0.0472113958288531,14187
26958075.51613554,2.8698168754965026,0.482341722946841,0.0504189695475469,0.0504753693645865,0.0491724871037845,8981
27096650.65320017,3.9423501183454257,-0.0041906388619648,0.0499143472154546,0.0499608562191578,0.0476461925778516,8499
27184349.98842593,3.92444006525099,-0.0364078107651491,0.0466515736776297,0.0467360179278792,0.0442778919682759,7840
27345556.38412232,5.207382484296144,0.0780045086224191,0.0497967243730315,0.0498039651051778,0.045705461874625,6955
27486998.414300464,5.7437644736077,0.1788576314924456,0.0495354895634066,0.0495403467278012,0.0444837430788061,17897
27605782.388199784,5.615473319983014,0.3325116635370205,0.0481820121076248,0.0483575716805105,0.0434027011163204,23938
27733121.673059814,5.311620398863811,0.5522119226761554,0.0496425554641237,0.0496794976947883,0.0453240668846913,23928
27863134.94759081,4.765137114167458,0.8189337654008793,0.0518626932661765,0.0521299775991725,0.0485978267626287,19745
27993346.75455135,3.746110133722979,1.5130850861502918,0.054095664710224,0.0547855950817461,0.0516460025144591,12055
28123423.71838302,2.9514302655970126,2.0249087171994016,0.0516582943062656,0.0518207757379181,0.0480521140119004,16390
28253585.82867448,3.0150330848299896,2.116665057794617,0.0494310401875866,0.0494361079093304,0.0451513103376548,23513
28383666.583542835,2.666406749110222,2.295218864229257,0.0501031334161075,0.0501721887083151,0.0456941129370968,21280
28513823.26007787,2.8548767743684667,2.1921643273498304,0.049237609190056,0.0492435849630995,0.0448198195438445,22793
28643852.278592654,3.1711777704918096,2.079080839005933,0.0484849169535174,0.048510154283959,0.0440858146272882,19225
28771234.715505306,2.923392235629402,1.933818440944344,0.0478460865687171,0.0478621107569247,0.0440317604816631,16337
28898544.314680625,2.444407127239422,1.867804109013282,0.0476777399386165,0.0477343051011631,0.0444547293546474,17538
29028635.938713297,2.507229533677904,1.704096099371037,0.0490841032307958,0.0491016098003036,0.0462915899023744,17017
29158740.57371193,2.880461045029235,1.4864607713898688,0.0474449505478995,0.0475133456322858,0.0448018458620755,13927
29288880.564600296,2.814818101384614,1.3448402777994397,0.0488817747732645,0.048891057410056,0.046583452544048,13943
29410479.4754318,2.9282899018021027,1.156090345949971,0.0490005062035544,0.049013003011479,0.0469288816256182,16984
29549115.27253089,3.117693010535178,0.9000235337212391,0.0471177467118391,0.0471528330241469,0.0451767390226954,13489
29699005.892481346,2.983461661729963,0.8565801378183048,0.0485383724141489,0.0485440108662304,0.0467946381887884,10460
29809295.408589303,2.582524266271833,0.5840364569731433,0.0488993087254784,0.0489878859878194,0.0478238492553033,10209
29939473.862033103,2.586423880821252,0.5657408116618046,0.0508449947106058,0.0508927417679808,0.0497774444421309,8863
30069469.36089733,2.8110910440948724,0.1590063342924403,0.0480618747075793,0.0481725965918872,0.0469734317623404,11751
30196855.640161984,2.9024787319764,-0.1758421504590741,0.0449383296459985,0.0450503929334879,0.0436218087456003,20514
30324182.75581006,3.0417724850230834,-0.4585685075334573,0.0436471894854511,0.043706260176011,0.0418988509718388,24471
30454265.84698068,2.2845223394924745,-0.6602028793400562,0.0466333050740855,0.046788958585079,0.0455683068562082,11890
30590060.988944653,1.2822999536294135,0.265768792064154,0.0443832176448393,0.0445055010881121,0.0441995831919874,13140
30714494.013842102,1.759010579022224,0.8034657577710688,0.0407198367878576,0.0407376938877972,0.0397195132796106,21513
30844658.12807672,2.3377293336274767,1.3004908284617829,0.0416240724957111,0.0416268097991578,0.0394081005238343,19954
30974723.05206784,2.7745739303885197,1.7356252113430557,0.0470391873720485,0.0471541951436941,0.0439431982790496,19107
31104892.904677432,3.1114546681181428,1.7009437094778272,0.0503092107256769,0.0503203947240132,0.0471387967620543,13899
31237801.790706422,1.9095481951474045,-0.2070660612180861,0.054360284254925,0.0544608239499848,0.0537810352373721,5569
31365153.7100778,2.334124192916803,-3.2668230085397774,0.0598098119495917,0.0598943189195169,0.0522836004098817,9256
31492407.598206848,2.5006931274607545,-3.8806635680678663,0.0578157636139998,0.0578251316299099,0.0466087718534552,12375
31622510.778389744,1.978180204835827,-3.8843324641425223,0.0558624529162861,0.0559282965415435,0.0448403549339879,13864
31749818.394595843,1.0391429660758225,-3.9041549230111383,0.0545995076132272,0.0546032875198952,0.0435852998582174,14577
31879971.60664165,0.61129113997645,-4.270415122508302,0.0600102152081717,0.0602000456826795,0.0484046500000124,12012
32010056.500089303,0.3165954548412272,-4.56657170286754,0.0634480449165782,0.0635622485830355,0.0508566030797015,12729
32140195.253314357,-0.3612525479375186,-4.976332440650048,0.0661325299221323,0.0662429224281135,0.0519537009786488,15672
32270297.97227912,-0.6025965212051536,-5.379868277570977,0.0681221703146334,0.0681618405618586,0.0517836078340222,15816
32403241.50922196,-0.7664270664763756,-5.689298345421863,0.0708116503128202,0.0708180915436273,0.053081268244589,14334
32530547.18406109,-0.9843891729532496,-6.473604881563887,0.0779229657409178,0.0779466689295934,0.0568463640505142,13700
32663487.91127096,-0.7081292309139912,-6.709049558671286,0.0790468083964544,0.0791204454740513,0.0567442915219165,14339
32796414.7199104,-0.3288786648668082,-6.6694961670966215,0.0796462312764201,0.079655388326925,0.0575341685967492,12909
32918069.108635664,-0.5302344597275701,-6.877001321167699,0.0813066462722438,0.0813748397694491,0.0583177176399839,10506
33048180.42309301,-0.1647249801537187,-7.170805657194901,0.0822096116347202,0.0822274188027318,0.0569846491917606,9634
33175491.05538661,0.3647627632541413,-7.069345644883967,0.0841257972414625,0.0841420914204211,0.0606782754716642,10324
33305602.006138835,0.4621515052338582,-7.030700997607661,0.0868315237604904,0.086858182992134,0.0645034400342578,7527
33435711.673383627,0.906481604889067,-6.40001316340804,0.0789920753503337,0.0791598482061752,0.0585315559436636,8983
33571495.13293594,0.8129342500547093,-6.689707089811631,0.0755445449215279,0.0755613388416908,0.0511136599411632,15982
33695961.007864565,0.3845944940504885,-7.183482427528755,0.0775936106597076,0.0776183828995965,0.0497738535228456,18194
33828933.6937329,0.4920202485053899,-7.675460367280448,0.0829116633483788,0.0829475359331567,0.0533157352063311,19287
